排名,学校名称,软科总得分
1,清华大学,992.6
2,北京大学,898.6
3,浙江大学,793.8
4,上海交通大学,776.3
5,复旦大学,697
6,南京大学,656.1
7,中国科学技术大学,578.4
8,华中科技大学,578
9,武汉大学,577.3
10,西安交通大学,566.4
11,中山大学,539.6
12,北京航空航天大学,537.2
13,东南大学,530.7
14,北京理工大学,530.2
15,四川大学,527.9
16,哈尔滨工业大学,514.1
17,同济大学,509.6
18,中国人民大学,508.3
19,北京师范大学,501.4
20,天津大学,491.5
21,南开大学,481.8
22,山东大学,476.3
23,西北工业大学,459.9
24,厦门大学,458.2
25,中南大学,456.1
26,吉林大学,443.7
27,中国农业大学,440.6
28,大连理工大学,435.7
29,华东师范大学,431.2
30,华南理工大学,430.6
31,电子科技大学,426.1
32,湖南大学,422.2
33,重庆大学,407.5
34,南方科技大学,396.4
35,北京科技大学,384.8
36,南京航空航天大学,380.1
37,南京理工大学,373.4
38,兰州大学,367.6
39,东北大学,366.8
40,西安电子科技大学,355.4
41,北京交通大学,352.1
42,上海科技大学,348.5
43,苏州大学,347
44,华东理工大学,341.5
45,哈尔滨工程大学,340.9
46,东北师范大学,340.8
47,华中农业大学,338.1
48,中国石油大学（北京）,331.4
49,南京农业大学,330.8
50,郑州大学,326.1
51,暨南大学,323.4
52,南京师范大学,gQ
53,武汉理工大学,gQ
54,中国矿业大学,321.7
55,江南大学,321.4
56,上海大学,320.6
57,中国海洋大学,319.1
58,华中师范大学,318.5
59,西南交通大学,317
60,中国石油大学（华东）,313.9
61,中国地质大学（武汉）,313.2
62,陕西师范大学,312.6
63,北京邮电大学,311.3
64,浙江工业大学,309.7
65,河海大学,307.7
66,北京工业大学,306.1
67,西北大学,305.2
68,北京化工大学,300.9
69,西南大学,300.6
70,云南大学,297.8
71,南昌大学,297
72,深圳大学,296.4
73,西北农林科技大学,292.4
74,中国地质大学（北京）,291.4
75,华北电力大学,286.4
76,东华大学,282.8
77,中国矿业大学（北京）,282.3
78,宁波大学,281.3
79,华南师范大学,280.8
80,江苏大学,280.2
81,福州大学,277.5
82,扬州大学,271.8
83,合肥工业大学,270.2
84,北京林业大学,269.6
85,南京邮电大学,268
86,湖南师范大学,263.7
87,福建师范大学,263.1
88,浙江师范大学,262.4
89,南京工业大学,258.9
90,广西大学,257.6
91,首都师范大学,257.3
92,长安大学,257
93,南京林业大学,253
94,华南农业大学,251.9
95,安徽大学,ij
96,贵州大学,ij
97,杭州电子科技大学,248.2
98,广州大学,247.7
99,河南大学,247.6
100,广东工业大学,247.2
101,山西大学,247
102,湘潭大学,246.6
103,南京信息工程大学,245.9
104,海南大学,245.7
105,山东师范大学,it
106,浙江理工大学,it
107,上海理工大学,244.8
108,太原理工大学,243.5
109,河北工业大学,241
110,青岛大学,239.9
111,大连海事大学,238.5
112,燕山大学,237.5
113,东北林业大学,237.3
114,西安建筑科技大学,236.9
115,昆明理工大学,232.5
116,内蒙古大学,231.7
117,江西师范大学,230.8
118,西安理工大学,230.7
119,上海师范大学,230
120,杭州师范大学,227.7
121,东北农业大学,222.8
122,武汉科技大学,222.4
123,山东科技大学,221.2
124,陕西科技大学,221
125,福建农林大学,218.2
126,长沙理工大学,iN
127,河北大学,iN
128,宁夏大学,217.4
129,新疆大学,216.8
130,西南石油大学,216.4
131,辽宁大学,216.1
132,温州大学,216
133,湖北大学,215.5
134,四川农业大学,210
135,长春理工大学,209.9
136,石河子大学,iW
137,中国计量大学,iW
138,天津工业大学,208.2
139,安徽师范大学,iY
140,江苏科技大学,iY
141,天津师范大学,206.5
142,齐鲁工业大学,205.8
143,江苏师范大学,205.3
144,山东农业大学,205.2
145,上海海洋大学,204.4
146,湖北工业大学,202.1
147,浙江农林大学,201.7
148,河南农业大学,201.4
149,常州大学,200.9
150,沈阳农业大学,200.8
151,河南师范大学,200.5
152,重庆邮电大学,200.4
153,安徽农业大学,199.2
154,成都理工大学,198.8
155,广西师范大学,198
156,黑龙江大学,197.6
157,北京建筑大学,196.3
158,武汉工程大学,196
159,南通大学,195.7
160,河北师范大学,194.5
161,天津科技大学,194.1
162,青岛科技大学,193.7
163,华侨大学,193.1
164,河南科技大学,192.9
165,延边大学,192.4
166,汕头大学,192.2
